Feature,Importance
dynamic_312,0.009355049
dynamic_1,0.005292728
dynamic_13,0.0048554637
android.os.IBinder,0.004854413
dynamic_48,0.0046889693
android.permission.BIND_JOB_SERVICE,0.0046611438
Ljava.net.URLDecoder,0.004521905
dynamic_6,0.004001992
dynamic_7,0.003874695
ServiceConnection,0.0038207998
KeySpec,0.003529284
dynamic_8,0.0033848358
dynamic_16,0.0031616872
dynamic_0,0.0030960895
android.permission.GET_TASKS,0.0030116797
transact,0.0029439619
android.intent.action.BOOT_COMPLETED,0.0029292824
TelephonyManager.getLine1Number,0.002923076
dynamic_147,0.0028327487
Landroid.content.Context.unregisterReceiver,0.0028022027
android.permission.ACCESS_NETWORK_STATE,0.002746895
dynamic_162,0.002709613
dynamic_84,0.002547681
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.002377234
dynamic_121,0.0022851462
/system/app,0.002270792
dynamic_3,0.0022450336
android.permission.CHANGE_WIFI_STATE,0.0021401204
dynamic_12,0.0021398885
dynamic_25,0.0021350954
dynamic_152,0.0020884934
android.permission.DELETE_PACKAGES,0.002043926
dynamic_296,0.0020046933
dynamic_112,0.001995026
android.os.Binder,0.0019298518
dynamic_282,0.0019070468
bindService,0.001902403
attachInterface,0.0018228538
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,0.0017634195
chmod,0.001750528
dynamic_128,0.0017157411
dynamic_140,0.0017006615
dynamic_59,0.0016922674
onServiceConnected,0.0016879663
Ljava.lang.Class.getDeclaredField,0.0016833851
chown,0.0016169675
dynamic_103,0.0016155968
android.permission.CLEAR_APP_USER_DATA,0.0015957087
dynamic_161,0.0015880509
 android.permission.SET_ANIMATION_SCALE,0.0015513866
dynamic_306,0.0015460361
remount,0.0015022157
findClass,0.0014987967
dynamic_173,0.0014893115
dynamic_79,0.0014789253
dynamic_321,0.0014785592
android.permission.WRITE_SECURE_SETTINGS,0.0014773499
android.permission.READ_LOGS,0.0014710785
android.permission.INTERNET,0.001419943
dynamic_133,0.0013853727
android.permission.BIND_ACCESSIBILITY_SERVICE,0.0013764641
android.intent.action.New_OUTGOING_CALL,0.0013602045
dynamic_81,0.0013411955
dynamic_186,0.0013155127
android.permission.SYSTEM_ALERT_WINDOW,0.0013151994
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,0.0013124483
dynamic_207,0.0013015032
dynamic_156,0.0012772498
dynamic_120,0.001268887
ClassLoader,0.00124725
android.permission.READ_INSTALL_SESSIONS,0.0012209568
dynamic_316,0.0011990351
dynamic_58,0.0011954106
dynamic_293,0.0011916712
 android.permission.CAPTURE_AUDIO_OUTPUT,0.0011604221
android.permission.ACCESS_DOWNLOAD_MANAGER,0.0011579922
dynamic_91,0.0011321501
android.permission.DELETE_CACHE_FILES,0.0011232061
dynamic_288,0.0011224791
dynamic_70,0.0011030262
dynamic_122,0.0010826034
dynamic_69,0.0010732344
dynamic_149,0.0010730461
android.permission.ACCESS_NOTIFICATION_POLICY,0.0010699028
android.permission.BIND_INCALL_SERVICE,0.0010666775
getBinder,0.0010626663
android.permission.BIND_SCREENING_SERVICE,0.0010547665
dynamic_22,0.0010505295
dynamic_273,0.0010332171
dynamic_231,0.0010117631
android.permission.INTERNAL_SYSTEM_WINDOW,0.0010083992
 android.permission.BIND_VOICE_INTERACTION,0.0010044305
dynamic_322,0.0010026209
dynamic_209,0.0009953454
android.permission.INTERACT_ACROSS_USERS_FULL,0.0009940008
dynamic_210,0.0009841797
dynamic_35,0.0009826502
android.permission.WRITE_MEDIA_STORAGE,0.00096339616
android.permission.MANAGE_APP_TOKENS,0.000951128
dynamic_24,0.00094838487
dynamic_195,0.0009366957
dynamic_114,0.00093461503
android.permission.BIND_QUICK_SETTINGS_TILE,0.00093302416
dynamic_311,0.00093058863
android.permission.SET_ALWAYS_FINISH,0.0009257407
android.permission.SET_ORIENTATION,0.00091940904
android.permission.OVERRIDE_WIFI_CONFIG,0.0009132201
android.Intent.action.Battery_LOW,0.0009016263
dynamic_223,0.0008997116
dynamic_221,0.0008982941
android.intent.action.SENDTO,0.0008859664
dynamic_305,0.0008817875
dynamic_45,0.0008764267
android.permission.STATUS_BAR_SERVICE,0.00087206415
dynamic_320,0.00087169633
dynamic_252,0.00086570333
dynamic_130,0.0008642774
dynamic_281,0.0008524003
dynamic_74,0.00084498635
dynamic_220,0.00083956437
android.intent.action.SEND_MULTIPLE,0.0008370977
dynamic_236,0.00083601725
android.permission.REQUEST_INSTALL_PACKAGES,0.00083393324
Landroid.content.Context.registerReceiver,0.0008224267
dynamic_124,0.00082229153
android.permission.DEVICE_POWER,0.0008211671
android.permission.INJECT_EVENTS,0.0008170166
android.permission.MODIFY_AUDIO_SETTINGS,0.0008140903
dynamic_213,0.00080826256
dynamic_299,0.00080806494
dynamic_99,0.0008067778
dynamic_197,0.0008037674
dynamic_63,0.0007980017
android.permission.WRITE_PROFILE,0.000796974
android.permission.GET_DETAILED_TASKS,0.00079646206
dynamic_42,0.000789212
android.permission.SIGNAL_PERSISTENT_PROCESSES,0.0007887191
dynamic_101,0.0007839632
dynamic_20,0.0007812361
android.permission.ACCESS_WIFI_STATE,0.00078067306
dynamic_44,0.00078040094
dynamic_2,0.0007793397
android.intent.action.BATTERY_OKAY,0.00076636975
android.permission.ACCESS_WIMAX_STATE,0.00076614
sendDataMessage,0.0007634762
dynamic_92,0.0007611826
 android.permission.CAPTURE_SECURE_VIDEO_OUTPUT,0.00075708964
dynamic_279,0.0007556397
android.permission.PACKAGE_USAGE_STATS,0.0007548117
dynamic_275,0.0007516243
dynamic_5,0.00074920146
android.permission.SET_WALLPAPER,0.0007474826
Ljava.lang.Class.getField,0.000742918
 android.intent.action.ACTION_POWER_CONNECTED,0.0007419892
android.permission.MANAGE_ACCOUNTS,0.0007389566
android.permission.READ_SOCIAL_STREAM,0.00073478586
android.permission.SET_WALLPAPER_HINTS,0.00072479865
android.permission.WRITE_USER_DICTIONARY,0.000722637
android.permission.BATTERY_STATS,0.000718552
dynamic_26,0.0007180054
android.permission.SUBSCRIBED_FEEDS_READ,0.0007080777
android.permission.BIND_DREAM_SERVICE,0.00070613035
dynamic_319,0.000706114
 android.permission.BLUETOOTH,0.0007052842
Ljava.lang.Class.getCanonicalName,0.00070370355
android.permission.VIBRATE,0.0007026033
android.permission.USE_CREDENTIALS,0.0006888771
android.permission.SET_WALLPAPER_COMPONENT,0.00068302633
dynamic_105,0.0006796331
 android.permission.BROADCAST_STICKY,0.00067745865
android.intent.action.ACTION_SHUTDOWN,0.0006668417
dynamic_23,0.000665335
android.permission.SET_ACTIVITY_WATCHER,0.00066273013
android.permission.WRITE_SMS,0.00065817847
dynamic_39,0.00065731525
dynamic_157,0.0006567402
dynamic_318,0.00065607444
dynamic_232,0.0006553511
android.permission.MEDIA_CONTENT_CONTROL,0.0006475175
dynamic_107,0.0006460288
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,0.00063864776
dynamic_238,0.0006379421
android.permission.SET_TIME_ZONE,0.00063616136
 android.permission.BIND_WALLPAPER,0.00063466816
dynamic_164,0.0006268503
android.permission.INSTALL_LOCATION_PROVIDER,0.00062612066
android.permission.READ_INPUT_STATE,0.00062333734
dynamic_104,0.0006209044
android.permission.BIND_INPUT_METHOD,0.0006205929
dynamic_309,0.0006187738
getCallingUid,0.0006167443
android.permission.UPDATE_DEVICE_STATS,0.0006119469
dynamic_310,0.0006085614
android.permission.CHANGE_CONFIGURATION,0.00060781115
android.permission.CLEAR_APP_CACHE,0.0006018783
android.permission.WRITE_APN_SETTINGS,0.0005987068
dynamic_52,0.0005961003
dynamic_134,0.0005953873
dynamic_36,0.0005913304
android.permission.REORDER_TASKS,0.00058034685
dynamic_298,0.000576753
dynamic_123,0.0005760913
dynamic_295,0.00057590904
dynamic_303,0.00057318446
android.permission.GET_PACKAGE_SIZE,0.00057193555
dynamic_51,0.0005714984
android.permission.WRITE_SETTINGS,0.0005683466
android.permission.REBOOT,0.00056832354
dynamic_73,0.00056718953
dynamic_98,0.00056462875
dynamic_76,0.0005634942
dynamic_228,0.0005634632
dynamic_78,0.0005612097
dynamic_206,0.00056010805
 android.permission.BROADCAST_SMS,0.00055874395
android.intent.action.PACKAGE_DATA_CLEARED,0.00055531744
mount,0.0005553154
PathClassLoader,0.00055487227
 android.permission.BRICK,0.00055265357
dynamic_32,0.0005504803
android.permission.STATUS_BAR,0.0005485044
android.permission.RECEIVE_BOOT_COMPLETED,0.0005460267
 android.permission.CALL_PRIVILEGED,0.0005427895
android.permission.CONTROL_LOCATION_UPDATES,0.000539195
dynamic_276,0.0005366418
android.permission.WRITE_SYNC_SETTINGS,0.00053364306
dynamic_160,0.00053036335
android.permission.AUTHENTICATE_ACCOUNTS,0.00052592286
android.permission.BIND_TELECOM_CONNECTION_SERVICE,0.0005223395
android.permission.SEND_RESPOND_VIA_MESSAGE,0.0005201274
android.permission.SET_PROCESS_LIMIT,0.0005199442
 android.permission.BLUETOOTH_ADMIN,0.0005190889
dynamic_135,0.00051899446
 android.permission.BIND_VPN_SERVICE,0.00051668775
android.permission.READ_SYNC_STATS,0.00051522267
TelephonyManager.getCallState,0.0005143175
dynamic_18,0.00051173405
